MissingRate,Repeat,Seed,Mean Overall,ClinDiff-Lite Overall,Grouped Overall,Mean Liver Avg,ClinDiff-Lite Liver Avg,Grouped Liver Avg
20%,1,4240,343.8606468911409,344.8026299744255,343.00568083007045,214.61690296074525,209.7023688233936,207.18766494938643
20%,2,4241,314.7005699702251,311.07584733261564,307.736281290333,178.7645608463143,164.34807436423063,157.66251361594576
20%,3,4242,300.1062141391327,299.1737782259832,293.4528020178984,171.5519257420366,162.5806308091772,151.78599992620278
20%,4,4243,307.1816595238904,302.43976132265067,302.69539576232125,168.80802465091833,151.81022568180757,152.05857078368155
20%,5,4244,298.6228795591055,295.34534818530244,293.20796776744504,174.7020140026241,160.42611108317558,156.86355566121225
20%,6,4245,302.9378027738953,302.89206669304065,300.77440125818765,183.28461851571947,172.17161904770708,168.34705625812867
20%,7,4246,277.0952068183349,276.658896895344,274.1644156640988,181.57030485326618,174.04222708790493,169.36869346389594
20%,8,4247,309.67761933087866,309.196574099601,306.9944099631098,183.05420669856667,172.18691594121512,168.19853656508863
20%,9,4248,275.946059844166,275.4123227023871,272.67076134301453,145.82350221918094,138.54398244257672,132.8076087144133
20%,10,4249,269.0307586446232,264.43983120855387,262.79542902685364,180.06257739595233,166.0031741020185,162.9836510397222
20%,11,4250,279.4204781693235,278.5123350302628,274.54612848318123,160.53918467558637,151.495366155059,144.18421302867844
20%,12,4251,264.2904590236463,264.601326775778,261.99802091484395,194.7890524235137,186.0710938356846,182.23317667110248
20%,13,4252,288.6797155349409,287.2505970236268,285.7017686609088,153.95037253670532,142.33083981736007,139.17460383965155
20%,14,4253,266.65281641544294,262.6974385271962,260.7690354294241,159.86232148622037,146.4438674666834,142.7053280220816
20%,15,4254,308.4835310718,303.2523938618436,301.0103903873143,191.07212055845602,174.37240709179184,170.69445716160536
20%,16,4255,311.59319239721486,310.25673594743967,309.20558987206505,160.24111067808923,149.02348328801466,147.89334028301957
20%,17,4256,310.5047986941496,309.12297420461033,306.85234660992245,216.14562260536437,203.4181648088055,200.05998261527483
20%,18,4257,272.0804376450222,268.8263488648,267.98695126292205,171.22317457007213,158.47088548038084,157.01545356895792
20%,19,4258,279.7915557368578,277.38941210300993,275.92932554304815,184.58507074934872,174.3895335367122,171.8530208892001
20%,20,4259,284.31478374186395,282.9337556558048,280.1502137512562,171.37928257335173,159.79275669544813,154.51731014772147
40%,1,4440,277.0236493705871,276.2740612525416,275.2716106952807,162.07692747789332,155.0488875644198,152.55208656133524
40%,2,4441,321.8354723031066,321.24725612779656,323.50219495581695,179.52973790437625,174.39616134726683,178.15785044078424
40%,3,4442,300.85415504761914,301.10951649535605,299.2444594860971,180.16684897239406,175.29659071328933,171.5326424537551
40%,4,4443,318.32195082433645,321.0997245211398,318.47165913267867,187.36885376721068,186.68600974968203,182.06602644546365
40%,5,4444,296.97324049826653,296.2951023854571,295.95369945234347,177.97345293348528,171.58194200905834,170.14497239557477
40%,6,4445,314.34657521938635,314.31625177644,314.3264679525788,206.45842444612416,202.38528690575626,202.2999336027468
40%,7,4446,311.76314963927024,314.0773081808431,313.13624766310807,190.3491112537354,188.8878187824774,187.16879525121294
40%,8,4447,309.70719351108704,309.19066273506473,308.10041385095263,176.58906749063576,171.61354369913224,169.0724493910748
40%,9,4448,297.82138087835614,297.1151576312602,294.9294003203116,175.04819190964,169.8005641080769,165.29326539657083
40%,10,4449,302.96475284992493,302.04693035564196,299.8538022573343,167.73966064321834,160.80305566400997,156.47263489832793
40%,11,4450,310.34439627424297,310.9501661769644,312.2442722053133,189.21164868504817,184.90749811997657,186.62049000608954
40%,12,4451,314.0709839217357,318.2832853130573,316.12975999380205,189.3479779049671,191.63513039230983,187.6319293203924
40%,13,4452,309.44218847409866,309.32066910729236,307.7908651728491,200.29902083737318,194.56198955758268,191.79817575806536
40%,14,4453,292.6152917852723,291.87537817884294,294.9365715994712,191.83853421419417,184.615832360732,189.08689898663565
40%,15,4454,323.27927593558934,322.78564808867156,324.9193199578381,193.02755275858235,188.90459483781123,192.3100893368016
40%,16,4455,301.22913619738574,300.63282081212134,301.1579155018179,183.5906381479858,179.1425549690547,179.7186977609509
40%,17,4456,297.6508958812066,297.2163962127884,296.1280332490493,166.9134728795644,162.57792192858824,160.33248550656492
40%,18,4457,313.495189733296,313.2924661804774,313.82295863813226,195.68987303915887,190.58771257621552,191.21430846642352
40%,19,4458,299.2029398585028,303.9237067283827,301.66287757919315,177.52939913168007,170.56310915759522,175.2648150227515
40%,20,4459,317.0122947629136,316.4735913010393,316.6742753705573,193.40001694692305,188.47850747160024,188.52426258937848
60%,1,4640,298.5518547425481,298.32948986427243,302.0676481665889,190.70060252750406,188.6701060045359,193.79726607663352
60%,2,4641,314.96552325243874,314.67304444182935,316.06812879831955,195.01960692336675,192.20782087585553,194.32561367713058
60%,3,4642,290.30580531097866,289.88883679857634,294.13538644548805,186.30184282004086,183.11790614685177,189.4200840830937
60%,4,4643,309.4776374004483,309.168127096282,315.6537275135528,184.0731121220962,180.91634592056684,190.75328181885354
60%,5,4644,305.3966624591093,311.77451298649174,310.21383135631663,171.90427030732062,168.6962586565118,177.37416327963948
60%,6,4645,313.3339307626193,316.39503714529565,316.3115573703813,179.73395424570876,182.26172130644977,182.0561664545256
60%,7,4646,302.4731484095157,302.1194631227512,310.2592991172496,170.96345493093213,167.66158788496247,181.28433241790285
60%,8,4647,310.48709897165446,309.99001910495883,313.50069721864503,172.78856759623443,168.57898105275993,175.00743201636251
60%,9,4648,289.1540140395777,289.1540140395777,292.161269694092,181.99485645681213,181.99485645681213,184.51306462856863
60%,10,4649,325.8197992009194,325.42806995028127,330.20318229631624,195.11844179332456,191.7908463371375,199.04719859846873
60%,11,4650,300.01124674081456,299.9128823279625,304.37978542760754,174.07258000375487,172.68803585181877,178.08696036781797
60%,12,4651,313.7361351041562,313.3626649439019,318.0452236412967,192.03296439683731,189.01514396457353,196.34684176246483
60%,13,4652,304.0421390086752,303.7420567313074,309.2157901563121,184.46467696753407,181.9589045783396,190.556160449658
60%,14,4653,312.93596388741855,312.51139107566127,319.7281486528774,182.67154195098206,179.22737842665947,190.38523469505063
60%,15,4654,293.7102503414125,293.44884371413076,296.61369344131725,175.65561339034787,173.14204339948762,178.16697611548247
60%,16,4655,296.7298596088299,296.46744906160836,301.46102964224303,193.96169008083578,191.5796188647802,199.17975027368698
60%,17,4656,297.8949538625135,297.7341510127289,302.051297187651,180.29612571049404,178.58244671518275,185.27090828246457
60%,18,4657,292.88991104216916,292.75594734073314,296.80305805873627,167.1946532705429,166.1772521618942,171.0415486058591
60%,19,4658,296.1578502753343,296.07559782946157,299.48900019580327,170.0487789483441,168.9898828942274,173.26218515942833
60%,20,4659,317.7642710260314,317.2426087443281,319.0015244804023,195.6267676659896,191.6380675594714,194.0213645525716
